#Iteration #error_Jacobi #error_Gauss #error_ICF #error_ICNE #error_Multigrid #error_CG
0 6.562e+00 1.423e+00 9.992e+00 0.000e+00 4.925e-04 3.188e+01
1 2.392e+00 2.590e-01 4.378e-01 0.000e+00 4.843e-07 6.562e+00
2 1.003e+00 1.766e-02 3.272e-02 0.000e+00 1.038e-09 2.392e+00
3 4.427e-01 1.207e-04 9.049e-04 0.000e+00 3.231e-13 1.003e+00
4 1.860e-01 3.471e-06 2.463e-05 0.000e+00 6.051e-17 4.427e-01
5 6.992e-02 1.983e-06 1.731e-06 0.000e+00 0.000e+00 1.860e-01
6 4.333e-03 2.281e-07 6.044e-07 0.000e+00 0.000e+00 6.992e-02
7 7.030e-04 1.400e-08 2.434e-08 0.000e+00 0.000e+00 4.333e-03
8 5.641e-05 8.579e-10 4.742e-10 0.000e+00 0.000e+00 7.030e-04
9 4.945e-06 2.106e-10 4.827e-11 0.000e+00 0.000e+00 5.641e-05
10 1.247e-07 1.945e-11 5.900e-12 0.000e+00 0.000e+00 4.945e-06
11 4.506e-09 1.405e-12 5.306e-13 0.000e+00 0.000e+00 1.247e-07
12 6.548e-33 1.773e-14 1.395e-14 0.000e+00 0.000e+00 4.506e-09
13 0.000e+00 8.209e-16 2.198e-16 0.000e+00 0.000e+00 1.280e-32
14 0.000e+00 5.869e-17 0.000e+00 0.000e+00 0.000e+00 0.000e+00
15 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
16 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
17 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
18 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
19 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
20 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
21 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
22 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
23 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
24 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
25 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
26 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
27 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
28 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
29 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
30 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
31 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
32 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
33 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
34 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
35 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
36 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
37 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
38 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
39 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
40 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
41 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
42 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
43 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
44 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
45 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
46 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
47 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
48 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
49 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
50 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
51 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
52 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
53 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
54 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
55 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
56 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
57 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
58 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
59 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
60 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
61 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
62 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
63 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
64 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
65 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
66 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
67 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
68 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
69 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
70 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
71 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
72 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
73 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
74 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
75 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
76 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
77 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
